category,Description,Test Steps,Expected Results
Demat Account,Close Demat Account,"1. In the ""Demat Account"" section, choose ""Close Demat Account."" 
2. Follow the on-screen instructions to initiate the closure request. 
3. Confirm the closure.",The application processes the account closure request and transfers any remaining securities to the user's linked bank account. A confirmation message is displayed.
Demat Account,Unauthorized Sell Transaction,"1. In the ""Demat Account"" section, select a security that the user doesn't own. 
2. Initiate a sell transaction.","The application returns an error message, preventing the unauthorized sale of the security."
Demat Account,Wrong Beneficiary Name,"1. In the ""Demat Account"" section, initiate a transfer to another account. 
2. Enter an incorrect beneficiary name.","The application notifies the user that the beneficiary name is incorrect, and the transfer cannot proceed."
Demat Account,Sell Transaction without Securities,"1. Navigate to the ""Demat Account"" section. 
2. Try to initiate a sell transaction without having any securities.","The application displays an error message, indicating that there are no securities to sell."
Bonds and Securities,View Bond and Security Portfolio,"1. In the ""Bonds and Securities"" section, select ""View Portfolio.""","The application displays a list of the user's current bond and security holdings, including details like type, quantity, and current value."
Bonds and Securities,Purchase Government Bonds,"1. In the ""Bonds and Securities"" section, choose ""Purchase Government Bonds.""","The application presents a list of available government bonds. The user selects a bond, specifies the quantity, and completes the purchase."
Bonds and Securities,Purchase Corporate Bonds,"1. In the ""Bonds and Securities"" section, opt for ""Purchase Corporate Bonds.""","The application lists available corporate bonds. The user selects a bond, specifies the quantity, and completes the purchase."
Bonds and Securities,Sell Bonds and Securities,"1. In the ""Bonds and Securities"" section, select ""Sell Bonds and Securities.""","The application displays the user's holdings, and the user chooses the securities to sell. The application processes the sale."
Bonds and Securities,Transfer Bonds and Securities to Another Account,"1. In the ""Bonds and Securities"" section, choose ""Transfer to Another Account.""",The application guides the user to select the securities and specify the recipient account details. The transfer is confirmed and executed.
Bonds and Securities,Request Bond and Security Statement,"1. In the ""Bonds and Securities"" section, opt for ""Request Statement.""",The application generates a statement for the user's bond and security holdings and makes it available for download or viewing.
Insurance and National Pension Scheme,View Insurance Policies,"1. Navigate to the ""Insurance and Pension"" section. 
2. Choose ""View Insurance Policies.""","The application displays a list of insurance policies associated with the user, including details like policy type, coverage, and premium."
Insurance and National Pension Scheme,Purchase New Insurance Policy,"1. In the ""Insurance and Pension"" section, select ""Purchase New Insurance Policy."" 
2. Choose the type of insurance policy to purchase.","The application guides the user through the policy selection process, collects necessary information, and confirms the purchase."
Insurance and National Pension Scheme,Update Beneficiary Information for Insurance Policies,"1. In the ""Insurance and Pension"" section, choose ""Update Beneficiary Information."" 
2. Select the policy for which beneficiaries need updating.",The application allows the user to add or modify beneficiary details for the selected policy. The changes are saved.
Insurance and National Pension Scheme,Check National Pension Scheme (NPS) Balance,"1. In the ""Insurance and Pension"" section, opt for ""Check NPS Balance."" 
2. Provide the necessary NPS account details.",The application retrieves and displays the user's National Pension Scheme account balance.
Insurance and National Pension Scheme,Make Contributions to National Pension Scheme (NPS),"1. In the ""Insurance and Pension"" section, select ""Contribute to NPS."" 
2. Specify the contribution amount and confirm the transaction.","The application processes the user's NPS contribution, and the account balance is updated accordingly."
Insurance and National Pension Scheme,View and Download Insurance Statements and Documents,"1. In the ""Insurance and Pension"" section, choose ""View Statements and Documents."" 
2. Select the document or statement to view/download.",The application provides access to insurance policy statements and documents for viewing and downloading.
Insurance and National Pension Scheme,Invalid Pension Scheme Enrollment,"1. Visit the ""National Pension Scheme"" area. 
2. Try to enroll in a non-eligible pension scheme.","The application rejects the enrollment attempt, indicating that the selected scheme is not available for enrollment."
Insurance and National Pension Scheme,Premature Pension Scheme Withdrawal,"1. In the ""National Pension Scheme"" section, try to withdraw from a non-withdrawable pension scheme.","The application prevents the premature withdrawal, notifying the user that it is not allowed for the selected scheme."
Search,Search for Account Transactions,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Navigate to the ""Search"" section. 
8. Select ""Account Transactions Search.""
9. Provide search criteria (e.g., date range, transaction type). 10. Initiate the search.","The application retrieves and displays a list of account transactions that match the search criteria, with details such as date, description, and amount."
Search,Advanced Transaction Search,"1. In the ""Search"" section, choose ""Advanced Transaction Search."" 2. Specify advanced search criteria (e.g., amount range, payee, category). 3. Start the search.","The application presents a list of transactions that meet the advanced search criteria, along with relevant transaction details."
Search,Find Nearby ATMs/Branches,"1. Go to the ""Search"" section. 
2. Opt for ""Find Nearby ATMs/Branches."" 
3. Provide location details or use the current location. 4. Initiate the search.","The application displays a map or list of nearby ATMs and branches, along with essential location information."
Search,Search for Specific Service,"1. Access the ""Search"" section. 
2. Choose ""Search for Specific Service."" 
3. Specify the service or assistance needed (e.g., loan application). 
4. Begin the search.","The application presents options or guidance related to the requested service, such as links to relevant application forms or information."
Search,Search for Contact Information,"1. In the ""Search"" section, pick ""Contact Information Search."" 
2. Specify the type of contact information (e.g., branch contact). 
3. Perform the search.","The application provides contact details for the selected type (e.g., branch contact, customer support), including phone numbers and addresses."
Search,Search for Financial Products,"1. Enter the ""Search"" section. 
2. Select ""Financial Products Search."" 
3. Indicate the type of financial product (e.g., savings account).
4. Initiate the search.","The application displays information on available financial products matching the selected type, including features and rates."
Search,Invalid Search Query,"1. Navigate to the ""Search"" section. 
2. Enter an invalid search query.",The application displays no relevant results and provides an option for the user to refine the search query.
Search,Unauthorized Access to Search Data,"1. Access the ""Search"" section. 
2. Try to view sensitive user data or account information via the search feature.","The application denies access to unauthorized data, ensuring that user privacy and security are maintained."
Search,Unauthorized Account Information Access,"1. Visit the ""Search"" section. 
2. Attempt to access account details of other users through the search functionality.",The application prevents unauthorized access to account information and ensures data privacy and security.
In-App notification,Receiving a New Notification,"1. While logged in, wait for a new notification to arrive.","A new notification is displayed within the app, often as a pop-up or within a dedicated notifications area."
In-App notification,Clicking on a Notification,1. Access the list of notifications. 2. Click on a specific notification.,"The selected notification is opened, and it may lead to a relevant page or action within the app."
In-App notification,Clearing Notifications,1. Access the list of notifications. 2. Mark one or more notifications as read or clear them.,The notifications are marked as read or cleared from the list. They may be moved to an archive or deleted.
In-App notification,Interacting with Actionable Notifications,"1. Receive a notification with actionable buttons (e.g., ""Accept,"" ""Dismiss""). 2. Click on the action buttons.","The actions associated with the notification are performed, such as accepting or dismissing an offer."
In-App notification,Viewing Notification History,1. Access the notification history or archives.,The user can view past notifications and their details.
In-App notification,Filtering Notifications by Type or Category,"1. Apply filters to view notifications by type (e.g., transaction alerts, promotions).","Notifications are sorted based on the applied filters, making it easier to find specific types of notifications."
In-App notification,Managing Notification Preferences,"1. Access the notification settings. 2. Adjust notification preferences (e.g., frequency, channels).","The user can customize how and when they receive notifications, enhancing their in-app experience."
In-App notification,Notifications Not Received,1. Wait for notifications while logged in.,No notifications are received during the specified time frame.
In-App notification,Notification Click Redirects to Wrong Page,1. Click on a notification that should lead to a specific page or feature.,"The user is redirected to an incorrect or unrelated page, causing confusion."
In-App notification,Unresponsive Actionable Notifications,"1. Receive a notification with actionable buttons (e.g., ""Accept,"" ""Dismiss""). 
2. Click on the actions.","Clicking on the action buttons has no effect, or they produce unexpected outcomes."
In-App notification,Notifications Not Removed After Clearing,1. Mark one or more notifications as read or clear them.,The notifications remain in the list even after being marked as read or cleared.
In-App notification,Incorrect Notification History Display,1. Access the notification history or archives.,The notification history displays incorrect or unrelated notifications.
In-App notification,Filtered Notifications Not Displayed,"1. Apply filters to view notifications by type (e.g., transaction alerts, promotions).","Filtered notifications do not display as expected, making it challenging to find specific types."
In-App notification,Broken Notification Preferences,"1. Access the notification settings. 
2. Modify notification preferences (e.g., frequency, channels).","Changes to notification preferences do not save or apply as intended, leading to issues."
Shop with Rewards,Redeem Credit Card Points,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Navigate to the Rewards section.
8.Select ""Redeem Points"" for a purchase.
9.Enter transaction details.
10.Confirm and complete the redemption.","1. Points balance is displayed.
2. System prompts for confirmation and details.
3. Transaction details are accurate.
4. Points are deducted, and confirmation is displayed."
Shop with Rewards,Earn Rewards for Transactions,"1. Make a qualifying transaction.
2. Check the rewards summary.","1. Transaction details are recorded.
2. Points are added based on transaction criteria."
Shop with Rewards,Explore Exclusive Offers,"1. Visit the Offers or Discounts section.
2. Choose an offer and follow instructions.","1. Exclusive offers are displayed.
2. User is eligible and can avail of the offer."
Shop with Rewards,Track and Manage Rewards History,1. Access the Rewards History section.,1. Comprehensive history of earned and redeemed points.
Shop with Rewards,Attempt to Redeem Insufficient Points,"1. Navigate to the Rewards section.
2. Select ""Redeem Points"" for a purchase.
3. Enter transaction details.","1. Points balance is displayed. 
2. System prompts for confirmation and details.
3. System displays an error indicating insufficient points."
Shop with Rewards,Attempt to Earn Rewards with Ineligible Transaction,"1. Make a transaction that doesn't meet eligibility criteria.
2. Check the rewards summary.","1. Transaction details are recorded.
2. Points are not added as the transaction is ineligible."
Shop with Rewards,Explore Offers with Invalid User,"1. Visit the Offers or Discounts section.
2. Log out and log in with an invalid user.","1. Exclusive offers are displayed.
2. Offers are not accessible, and an error is displayed."
Shop with Rewards,Attempt to View Rewards History without Login,1. Attempt to access the Rewards History section without logging in.,"1. System prompts for login, history is not accessible."
Chatbot or Support Section,Request General Information from Chatbot,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Access the Chatbot or Support Section.
8. Ask the Chatbot about the bank's working hours.
9. Engage in a conversation with the Chatbot.","1. Chatbot greets the user and provides general information.
2. Chatbot responds with the bank's working hours.
3. Chatbot provides relevant and accurate information."
Chatbot or Support Section,Report an Issue to Customer Support,"1. Access the Support Section.
2. Choose to report a technical issue.
3. Provide details about the issue.","1. Options to report issues or contact customer support are available.
2. System provides a form or interface to report the issue.
3. Confirmation message is displayed, and issue is logged."
Chatbot or Support Section,Live Chat with Customer Support,"1. Access the Live Chat feature in the Support Section.
2. Initiate a live chat conversation.","1. Chat interface with a customer support agent is available.
2. Customer support agent responds promptly."
Chatbot or Support Section,Request Account Assistance through Chatbot,"1. Ask the Chatbot for assistance with an account-related issue.
2. Choose the relevant option and provide necessary details.","1. Chatbot provides options for account-related assistance.
2. Chatbot processes the request and provides guidance."
Service Request via Chatbot,Requesting Bank Statement via Chatbot,"1. Access the Chatbot or Support Section. 
2. Request a bank statement. 
3. Provide necessary details like the statement period.",The Chatbot processes the request and notifies the user about the availability of the bank statement.
Service Request via Chatbot,Raising Account Closure Request via Chatbot,"1. Use the Chatbot or Support Section. 
2. Request assistance with closing the account. 
3. Confirm the closure request.","The Chatbot provides information about the closure process, and upon confirmation, initiates the account closure request."
Live Chat with Support Agent,Live Chat for Bank Statement Request,"1. Initiate a live chat with a support agent. 
2. Request a bank statement. 
3. Provide necessary details. 
4. Support agent processes the request.",The support agent confirms the availability of the bank statement and provides any additional information as needed.
Live Chat with Support Agent,Live Chat for Account Closure Request,"1. Initiate a live chat with a support agent. 
2. Inform the agent about the account closure request.
 3. Support agent guides through the closure process.",The support agent guides the user through the closure process and confirms the account closure request.
Negative Scenarios in Chatbot,Incorrect Information Input,"1. Access the Chatbot or Support Section.  
2. Provide incorrect or invalid details while making a service request.",The Chatbot detects the invalid input and prompts the user to correct the information.
Negative Scenarios in Live Chat,Unresponsive Support Agent,"1. Initiate a live chat with a support agent.  
2. Wait for an extended period without receiving any response.",The system recognizes the delay and either automatically connects to another agent or notifies the user about the delay and provides alternatives.
Negative Scenarios in Chatbot,Ambiguous Request,"1. Access the Chatbot or Support Section.  
2. Make a service request with ambiguous or incomplete information.",The Chatbot prompts the user to provide additional details to fulfill the request.
Negative Scenarios in Live Chat,Disconnection During Critical Service Request,"1. Initiate a live chat for a critical service request.  
2. Simulate a disconnection either by closing the app or disconnecting the network.","The system should retain the context of the conversation, and upon reconnection, guide the user to complete the service request."
Locate Us Section,Find Nearest ATM,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Access the ""Locate Us"" section. 
8. Choose the option to find the nearest ATM.  
9. Enter the current location or use the device's GPS.","The application displays a map or a list of ATMs near the user's location, along with details such as address and operating hours."
Locate Us Section,Locate Branch,"1. Access the ""Locate Us"" section.  
2. Choose the option to locate a branch.  
3. Enter the city or use the device's GPS.","The application provides a map or a list of branches in the specified city, including branch details and contact information."
Locate Us Section,Filter Locations,"1. Access the ""Locate Us"" section.  
2. Apply filters such as ""ATMs only"" or ""Branches only.""","The application refines the displayed locations based on the selected filters, providing a more targeted search."
Locate Us Section,Get Directions to a Location,"1. Access the ""Locate Us"" section.  
2. Choose a specific ATM or branch.  
3. Select the option to get directions.",The application integrates with map services to provide step-by-step directions to the selected location.
Locate Us Section,Get direction for Cash deposit machine,"1. Access the ""Locate Us"" section.  
2. Choose the option to find the nearest ATM.  
3. Select CDM in filter section (e.g., special characters).",The application integrates with map services to provide step-by-step directions to the selected location.
Locate Us Section,Invalid Location Input,"1. Access the ""Locate Us"" section.  
2. Choose the option to find the nearest ATM.  
3. Enter an invalid location (e.g., special characters).",The application should display an error message indicating that the location input is invalid.
Locate Us Section,No ATMs or Branches Found,"1. Access the ""Locate Us"" section.  
2. Choose the option to find the nearest ATM or locate a branch in a specific city with no locations.",The application should inform the user that no ATMs or branches were found based on the provided criteria.
Locate Us Section,No GPS Access or Location Services Disabled,"1. Access the ""Locate Us"" section.  
2. Choose the option to find the nearest ATM.  
3. Attempt to use GPS, but disable location services on the device.",The application should prompt the user to enable location services and provide guidance on how to enable them.
Locate Us Section,Failure to Retrieve Map or Location Information,"1. Access the ""Locate Us"" section.  
2. Choose the option to find the nearest ATM or locate a branch.  
3. Simulate a failure to retrieve map or location information.","The application should display an error message, notifying the user of the issue, and suggest alternative actions or retrying later."
About Us - General Info,View General Information,"1. Navigate to the ""About Us"" section.  2. Select the option for general information.","The application should display relevant and accurate general information about the bank, including its history, mission, and values."
About Us - Leadership Team,View Leadership Team,"1. Navigate to the ""About Us"" section.  2. Choose the option to view the leadership team.","The application should present detailed information about the bank's leadership team, including names, roles, and brief bios."
About Us - Awards and Recognition,View Awards and Recognition,"1. Navigate to the ""About Us"" section.  2. Select the option for awards and recognition.","The application should showcase the bank's achievements, awards, and recognitions, providing a comprehensive list and details."
About Us - Corporate Social Responsibility,View CSR Initiatives,"1. Navigate to the ""About Us"" section.  2. Choose the option to explore CSR initiatives.","The application should display information on the bank's CSR activities, detailing projects, partnerships, and social contributions."
About Us - Contact Us,Access Contact Information,"1. Navigate to the ""About Us"" section.  2. Select the option for contact details.","The application should present accurate contact information, including addresses, phone numbers, and email addresses."
Offers - Featured Offers,View Featured Offers,"1. Navigate to the ""Offers"" section.  
2. Look for the section on featured offers.","The application should display a curated list of current featured offers, including details on discounts, promotions, or exclusive deals."
Offers - Category-wise,Explore Offers by Category,"1. Navigate to the ""Offers"" section.  
2. Choose a specific category of offers (e.g., travel, shopping).","The application should present a variety of offers within the selected category, allowing users to explore and access relevant deals."
Offers - New Arrivals,Discover New Offers,"1. Navigate to the ""Offers"" section.  
2. Look for the section highlighting new arrivals in offers.","The application should showcase recently added offers, ensuring users are aware of the latest promotions and opportunities."
Offers - Terms and Conditions,Review Offer Details,"1. Navigate to the ""Offers"" section.  
2. Select a specific offer to view details.  
3. Check the terms and conditions of the offer.","The application should provide clear and comprehensive terms and conditions for the selected offer, including eligibility criteria and expiration dates."
Offers - Redeem Points,Redeem Loyalty Points,"1. Navigate to the ""Offers"" section.  
2. Explore offers that allow redemption of loyalty points.","The application should facilitate the smooth redemption of loyalty points for eligible offers, with a clear process and confirmation."
Offers,Link re-direction to expected section,"1. Navigate to the ""Offers"" section.  
2. Click on any one of the offer displayed.(eg.Personal Loan  offers)",The application should re-direct user to the exact personal loan section by applying the offer.
Offers - Expired Offers,Access Expired Offers,"1. Navigate to the ""Offers"" section.  
2. Attempt to access an offer that has expired.",The application should display a clear message indicating that the selected offer has expired and is no longer available for redemption or use.
Offers - Invalid Category,Choose an Invalid Category,"1. Navigate to the ""Offers"" section.  
2. Select a category that does not exist.","The application should gracefully handle the invalid category selection, providing an appropriate error message and guiding the user to choose a valid category."
Offers - Missing Details,View Offer with Incomplete Information,"1. Navigate to the ""Offers"" section.  
2. Select an offer with missing or incomplete details.","The application should not allow access to offers with incomplete information. Instead, it should display a message indicating that the details for the selected offer are currently unavailable."
Offers - Insufficient Points,Redeem with Insufficient Loyalty Points,"1. Navigate to the ""Offers"" section.  
2. Choose an offer that requires more loyalty points than the user possesses.","The application should prevent the user from proceeding with the redemption, displaying a message notifying them of insufficient loyalty points and suggesting alternative offers."
Offers - Technical Glitch,Encounter Technical Glitch,"1. Navigate to the ""Offers"" section.  
2. Simulate a technical glitch by attempting to access offers during system downtime.","The application should gracefully handle technical issues, displaying an error message that acknowledges the problem and advises the user to try again later."
Quick Links,Accessing Account-Specific Quick Links,"
1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Navigate to the ""Quick Links"" section.
8. Click on a quick link related to account-specific actions (e.g., ""View Balance,"" ""Transaction History"").
9. Repeat step 2 for multiple account-specific quick links.","1.A list of quick links specific to the user's account type or services is displayed.
2.The user is directed to the corresponding page or action associated with the selected quick link, showing account-specific information.
3.The user can access different account-specific features using the provided quick links."
Quick Links,Accessing General Quick Links,"1. Navigate to the ""Quick Links"" section.
2. Click on a general quick link not specific to account details (e.g., ""Contact Customer Support,"" ""FAQs"").
3. Repeat step 2 for multiple general quick links.","1.A list of general quick links applicable to all users is displayed.
2.The user is directed to the corresponding page or action associated with the selected general quick link.
3.The user can access different general features using the provided quick links."
Quick Links,Accessing Quick Links for Special Promotions,"1. Navigate to the ""Quick Links"" section.
2. Click on a quick link related to a special promotion or offer (e.g., ""Current Promotions,"" ""Discounts"").
3. Repeat step 2 for multiple quick links related to special promotions.","1.A list of quick links related to special promotions or offers is displayed.
2.The user is directed to the corresponding page or action associated with the selected quick link, showing promotion details.
3.The user can explore different special promotions or offers using the provided quick links."
Quick Links,Accessing an Invalid Quick Link,"1. Navigate to the ""Quick Links"" section.
2. Attempt to access a quick link that does not exist or is invalid (e.g., a link with a typo or a non-functional link).","1.A list of quick links is displayed.
2.An error message or notification is displayed, indicating that the quick link is invalid or not available."
Quick Links,Accessing a Quick Link with Insufficient Permissions,"1. Navigate to the ""Quick Links"" section.
2. Attempt to access a quick link that requires specific permissions (e.g., an administrative action).","1.A list of quick links is displayed.
2.An error message is displayed, informing the user that they do not have the necessary permissions to access the link."
Quick Links,Interacting with Quick Links during Maintenance,"1. Navigate to the ""Quick Links"" section.
2. Attempt to access a quick link while the application is undergoing maintenance or is temporarily unavailable.","1.A list of quick links is displayed.
2.A maintenance message or notification is displayed, indicating that the quick link cannot be accessed during maintenance."
Quick Links,Quick Link Responsiveness on Unstable Network,"1. Navigate to the ""Quick Links"" section.
2. Attempt to access a quick link while the network connection is unstable or slow.","1.A list of quick links is displayed.
2.The application handles the request gracefully, and a loading indicator or error message is displayed if needed."
Quick Links,Accessing Quick Links with Disabled JavaScript,"1. Navigate to the ""Quick Links"" section.
2.2. Disable JavaScript in the browser settings and attempt to interact with a quick link.","1.A list of quick links is displayed.
2.An error message is displayed, instructing the user to enable JavaScript for the optimal functioning of the application."
News,Viewing Latest News,"1. Navigate to the ""News"" section.
2. Click on a specific news article.
3. Optionally, navigate back to the list of news articles.
4. Click on another news article.
5. Check for the publication date of the news article.
6. Optionally, share the news article on social media or other platforms.","1.A list of the latest news articles related to banking or financial information is displayed.
2.The full content of the selected news article is displayed.
3.The user is returned to the list of news articles.
4.The content of the newly selected news article is displayed.
5.The publication date is visible and reflects the current or relevant date.
6.A sharing interface is displayed, allowing the user to share the news article."
News,Searching for News,"1. Navigate to the ""News"" section.
2. Enter a keyword or phrase in the search bar and press ""Enter.""
3. Click on a specific search result.
4. Verify that the search results are relevant to the entered keyword.
5. Optionally, navigate back to the list of search results.
6. Perform multiple searches with different keywords.","1.A search bar or option to search for news is available.
2.A list of news articles containing the entered keyword or phrase is displayed.
3.The full content of the selected news article is displayed.
4.The search results are relevant, and the user can find news articles based on the entered keyword.
5.The user is returned to the list of search results.
6.The user can successfully find relevant news articles using different search queries."
News,Accessing Invalid News Article,"1. Navigate to the ""News"" section.
2. Attempt to access a news article that does not exist or is invalid (e.g., a non-existent article ID or a typo in the URL).","1.A list of news articles is displayed.
2.An error message or a ""Not Found"" page is displayed, indicating that the requested news article is not available."
News,Accessing News Article with Insufficient Permissions,"1. Navigate to the ""News"" section.
2. Attempt to access a news article that requires specific permissions (e.g., premium content for which the user doesn't have access).","1.A list of news articles is displayed.
2.An error message is displayed, indicating that the user does not have the necessary permissions to view the requested news article."
News,Attempting to Share News without Content,"1. Navigate to the ""News"" section.
2. Select a news article but do not provide any content or text when attempting to share it.","1.A list of news articles is displayed.
2.An error message is displayed, informing the user that sharing requires entering some content or text."
News,Searching for Non-Existent News,"1. Navigate to the ""News"" section.
2. Enter a keyword or phrase in the search bar for a news article that doesn't exist.","1.A search bar or option to search for news is available.
2.A message or indication is displayed, stating that no news articles matching the entered keyword were found."
News,Attempting to Search with Special Characters,"1. Navigate to the ""News"" section.
2. Enter special characters (e.g., !@#$%^&*) in the search bar and press ""Enter.""","1.A search bar or option to search for news is available.
2.The application handles special characters gracefully, and an error message or informative feedback is displayed, guiding the user."
News,Loading News on Slow Network,"1. Navigate to the ""News"" section.
2. Simulate a slow network connection and attempt to load a news article.","1.A list of news articles is displayed.
2.The application should handle the slow network gracefully, displaying a loading indicator or providing feedback while the content loads."
Calculator,Accessing Currency Converter,"1. Navigate to the ""Calculator"" section.
2. Enter an amount in one currency and select another currency for conversion.
3. Change the currencies and verify that the conversion is updated accordingly.","1.A currency converter interface is displayed, allowing users to convert between different currencies.
2.The currency converter accurately displays the converted amount based on the exchange rate.
3.The currency converter updates the conversion based on the new selected currencies."
Calculator,Accessing Loan EMI Calculator,"1. Navigate to the ""Calculator"" section.
2. Enter loan amount, interest rate, and loan tenure to calculate the EMI.
3. Verify the display of the total repayment amount and interest paid.","1.A loan EMI (Equated Monthly Installment) calculator interface is displayed.
2.The EMI calculator accurately calculates the monthly installment based on the provided inputs.
3.The EMI calculator displays the total repayment amount and the interest paid over the loan tenure."
Calculator,Accessing Mortgage Calculator,"1. Navigate to the ""Calculator"" section.
2. Enter the loan amount, interest rate, loan term, and property tax/insurance information.
3. Verify the display of the amortization schedule and total payments.","1.A mortgage calculator interface is displayed, allowing users to calculate mortgage payments.
2.The mortgage calculator accurately calculates monthly mortgage payments, including tax and insurance.
3.The mortgage calculator displays an accurate amortization schedule and the total payments over the loan term."
Insurance,Accessing Insurance Information,"1. Navigate to the ""Insurance"" section.
2. Verify that the user has access to their insurance portfolio.","1.A dashboard or landing page displaying insurance-related information, such as policies, coverage, and premiums.
2.The user can see a summary of their active insurance policies, coverage details, and premium information."
Insurance,Viewing Policy Details,"1. Navigate to the ""Insurance"" section.
2. Click on a specific insurance policy to view details.
3. Check for policy details such as coverage amount, premium, policy term, and any additional benefits.","1.A dashboard or landing page displaying insurance-related information.
2.The user is directed to a detailed page showing information about the selected insurance policy, including coverage details, terms, and conditions.
3.The displayed information is accurate and matches the details associated with the selected insurance policy."
Insurance,Updating Insurance Beneficiary Information,"1. Navigate to the ""Insurance"" section.
2. Select a specific insurance policy that allows beneficiary updates.
3. Update the beneficiary information and save the changes.","1.A dashboard or landing page displaying insurance-related information.
2.The user is directed to a page where they can update beneficiary information for the selected insurance policy.
3.The system updates the beneficiary information for the selected insurance policy, and the changes are reflected in the system."
Insurance,Making a Claim,"1. Navigate to the ""Insurance"" section.
2. Select an insurance policy that allows claims.
3. Fill in the necessary details for the claim, including incident information and required documentation.","1.A dashboard or landing page displaying insurance-related information.
2.The user is directed to a page where they can initiate a claim for the selected insurance policy.
3.The system processes the claim request, and the user receives confirmation of the claim submission."
Insurance,Checking Claim Status,"1. Navigate to the ""Insurance"" section.
2. Select an insurance policy for which a claim has been submitted.
3. Verify the display of the current status of the claim, such as ""Under Review,"" ""Approved,"" or ""Denied.""","1.A dashboard or landing page displaying insurance-related information.
2.The user is directed to a page where they can check the status of the claim for the selected insurance policy.
3.The displayed claim status is accurate and reflects the current status of the submitted claim."
Insurance,Accessing Invalid Insurance Policy,"1. Navigate to the ""Insurance"" section.
2. Attempt to access a non-existent or invalid insurance policy.","1.A dashboard or landing page displaying insurance-related information.
2.An error message or notification is displayed, indicating that the requested insurance policy is not found or invalid."
Insurance,Updating Beneficiary Information without Permissions,"1. Navigate to the ""Insurance"" section.
2. Select an insurance policy that does not allow the user to update beneficiary information.","1. A dashboard or landing page displaying insurance-related information.
2.An error message is displayed, indicating that the user does not have the necessary permissions to update beneficiary information for the selected insurance policy."
Insurance,Initiating a Claim for an Ineligible Incident,"1. Navigate to the ""Insurance"" section.
2.Select an insurance policy that does not cover the type of incident the user wants to claim.","1.A dashboard or landing page displaying insurance-related information.
2.An error message is displayed, indicating that the selected insurance policy does not cover the specified incident type, and the user cannot proceed with the claim initiation."
Insurance,Attempting to Submit an Incomplete Claim,"1. Navigate to the ""Insurance"" section.
2. Select an insurance policy that allows claims.
3. Fill in only partial details for the claim, leaving required fields empty.","1.A dashboard or landing page displaying insurance-related information.
2.The user is directed to a page where they can initiate a claim for the selected insurance policy.
3.An error message is displayed, indicating that all required fields must be filled in to submit a claim."
Insurance,Checking Claim Status for a Non-Existent Claim,"1. Navigate to the ""Insurance"" section.
2. Select an insurance policy for which no claim has been submitted.","1.A dashboard or landing page displaying insurance-related information.
2.An error message or notification is displayed, indicating that there are no submitted claims for the selected insurance policy."
Insurance,Checking Claim Status without Permissions,"1. Navigate to the ""Insurance"" section.
2. Select an insurance policy that does not allow the user to check claim status.","1.A dashboard or landing page displaying insurance-related information.
2.An error message is displayed, indicating that the user does not have the necessary permissions to check the claim status for the selected insurance policy."
Insurance,Attempting to Access Insurance Section with No Policies,"1. Navigate to the ""Insurance"" section.
2. Verify if the user receives an informative message about the absence of insurance policies.","1. A user account with no associated insurance policies.
2. The system displays a message indicating that the user does not have any associated insurance policies and encourages them to explore available insurance options."
Account Type Selection,Open Current Account,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7.Navigate to the ""Open Account"" section in the banking application.
8. Select ""Current Account"" as the account type.","1.The system displays options to choose the account type.

2.The system highlights the selected account type (Current Account) and proceeds to the next step."
Account Type Selection,Open Savings Account,"1. Navigate to the ""Open Account"" section in the banking application.
2. Select ""Savings Account"" as the account type.","1.The system displays options to choose the account type.
2.The system highlights the selected account type (Savings Account) and proceeds to the next step."
Personal Information,Enter Personal Details,"1. Fill in personal details such as name, address, date of birth, and contact information.",The system accepts the provided personal information without errors.
